Taxon,RedList,DestrCrit,PopRed,PopRedBack,GenLength,UpperDepth,LowerDepth,DepthRange,DepthRange20,GenGlobAbd,ResFragRange,OffReef,SuscBleaching,ResistBleaching,SuscDisease,ResistDisease,Recover,SuscCoTs,Collection1000
POR_Alveopora_gigas,VU,De+Cr,0.41,0.16,10,3,30,27,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Alveopora_japonica,VU,De+Cr,0.37,0.24,10,NA,NA,NA,NA,uncommon,1,0,1,0,0,1,0,0,0
POR_Alveopora_marionensis,VU,De+Cr,0.36,0.14,10,1,30,29,0,rare,0,0,1,0,0,1,0,0,0
POR_Alveopora_minuta,EN,De+Cr,0.66,0.24,10,1,20,19,1,rare,0,0,1,0,0,1,0,0,0
POR_Alveopora_ocellata,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Alveopora_spongiosa,NT,De,0.2,0.09,10,3,50,47,0,uncommon,0,0,1,0,0,1,0,0,1
POR_Alveopora_tizardi,LC,De,0.18,0.08,10,3,50,47,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Alveopora_verrilliana,VU,De+Cr,0.34,0.14,10,3,30,27,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Alveopora_viridis,NT,De+Cr,0.26,0.14,10,5,50,45,0,rare,1,0,1,0,0,1,0,0,0
POR_Goniopora_albiconus,VU,De,0.33,0.14,10,3,30,27,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_burgosi,VU,De,0.33,0.14,10,2,30,28,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_cellulosa,VU,De,0.37,0.16,10,3,20,17,1,uncommon,1,0,1,0,0,1,0,0,0
POR_Goniopora_ciliatus,LC,De+Cr,0.14,0.08,30,1,30,29,0,uncommon,1,0,1,0,0,1,0,0,0
POR_Goniopora_columna,NT,De,0.21,0.09,10,2,15,13,1,common,0,0,1,0,0,1,0,0,0
POR_Goniopora_djiboutiensis,LC,De,0.21,0.09,10,5,20,15,1,common,0,0,1,0,0,1,0,0,0
POR_Goniopora_eclipsensis,LC,De,0.22,0.1,10,2,20,18,1,uncommon,0,0,1,0,0,1,0,0,0
